#SIMPLE:     #PTHREAD:      #OPENBLAS:      #MKL:       
16653        3690         2709         2814         
16411        3936         2828         2443         
16942        3943         2478         2377         
16530        3722         2462         2302         
17028        3862         2479         2357         
16436        3755         2448         2285         
16229        3650         2466         2772         
17378        3639         2721         2395         
18919        3627         2816         2337         
17005        3601         2879         2595         
