#SIMPLE:     #PTHREAD:      #OPENBLAS:      #MKL:       
76           47           37           43           
56           47           37           30           
57           46           37           26           
56           45           29           25           
55           52           40           25           
56           45           38           25           
56           47           38           25           
55           50           38           26           
55           47           37           25           
55           55           37           25           
